"approp_rt","approp_acc","approp_resp","approp_cresp","sentence_id","condition","sentence","id","type","subject","appropriateness","approp_rating"
1171,1,1,1,"33","HULA_engineering","The pipe was inquired with a seal.",107,"anomalous",2,"low",0
455,1,5,5,"16","HUHA_non-engineering","The rain kissed her lips.",107,"metaphorical",1,"high",1
748,1,5,5,"57","LUHA_engineering","The ice slowed the river's flow.",107,"literal",2,"high",1
754,1,5,5,"4","HUHA_engineering","The rocks hopped into the hole.",107,"metaphorical",2,"high",1
217,0,5,1,"40","HULA_non-engineering","The clouds trained over the city.",107,"anomalous",1,"low",1
812,1,5,5,"53","LUHA_engineering","The mechanic decreased the efficiency of the motor.",107,"literal",2,"high",1
396,1,5,5,"11","HUHA_engineering","The saddle had a perforated shell enveloped by soft foam.",107,"metaphorical",2,"high",1
450,1,5,5,"76","LUHA_non-engineering","The sun shone behind the clouds.",107,"literal",1,"high",1
647,1,5,5,"52","LUHA_engineering","The paper clip stuck to the magnet.",107,"literal",2,"high",1
1001,1,1,1,"48","HULA_non-engineering","The stars served over the desert.",107,"anomalous",1,"low",0
2666,1,1,1,"47","HULA_non-engineering","The volcano pummeled the lava.",107,"anomalous",1,"low",0
251,1,5,5,"59","LUHA_engineering","The metals were fused into a weld.",107,"literal",2,"high",1
4009,1,5,5,"67","LUHA_non-engineering","The cloud cover darkened the country.",107,"literal",1,"high",1
614,0,5,1,"35","HULA_engineering","The knives exhaled in their holder.",107,"anomalous",2,"low",1
785,0,1,5,"20","HUHA_non-engineering","The foilage staggered from the trees",107,"metaphorical",1,"high",0
191,1,5,5,"14","HUHA_non-engineering","The researcher born a theory.",107,"metaphorical",1,"high",1
197,1,5,5,"6","HUHA_engineering","The oil ferried from the pump.",107,"metaphorical",2,"high",1
177,0,5,1,"51","HULA_non-engineering","The laughter graduated through the windows.",107,"anomalous",1,"low",1
345,1,5,5,"25","HUHA_non-engineering","The musician teased the violin.",107,"metaphorical",1,"high",1
146,0,5,1,"45","HULA_non-engineering","The flag showered in the wind.",107,"anomalous",1,"low",1
558,0,5,1,"42","HULA_non-engineering","The bee potted the flower.",107,"anomalous",1,"low",1
509,1,5,5,"74","LUHA_non-engineering","The song echoed in her ear.",107,"literal",1,"high",1
323,1,1,1,"32","HULA_engineering","The electricity was dared by the resistor.",107,"anomalous",2,"low",0
1107,1,5,5,"68","LUHA_non-engineering","The storm blew away the dune.",107,"literal",1,"high",1
457,0,5,1,"41","HULA_non-engineering","The shooting stars returned the sky.",107,"anomalous",1,"low",1
961,0,5,1,"27","HULA_engineering","The wind has eaten the turbine.",107,"anomalous",2,"low",1
242,1,5,5,"18","HUHA_non-engineering","The surfer quarreled with the waves.",107,"metaphorical",1,"high",1
348,0,1,5,"19","HUHA_non-engineering","The sun hammered on the earth.",107,"metaphorical",1,"high",0
336,1,5,5,"8","HUHA_engineering","The trains charged with great velocity.",107,"metaphorical",2,"high",1
232,1,5,5,"2","HUHA_engineering","The car was interrupted by the brakes' force.",107,"metaphorical",2,"high",1
194,1,5,5,"64","LUHA_non-engineering","The water soaked the swimmer.",107,"literal",1,"high",1
497,1,5,5,"5","HUHA_engineering","The bus was stimulated by electricity.",107,"metaphorical",2,"high",1
179,1,5,5,"73","LUHA_non-engineering","The siren howled over the city.",107,"literal",1,"high",1
405,1,5,5,"71","LUHA_non-engineering","The sun evaporated the dew.",107,"literal",1,"high",1
399,1,5,5,"17","HUHA_non-engineering","The fruits crowned the cake.",107,"metaphorical",1,"high",1
703,0,5,1,"112","HULA_engineering","The saddle had a perforated shell devoted by soft foam.",107,"anomalous",2,"low",1
416,0,5,1,"116","HULA_non-engineering","The woman stitched words into his ear.",107,"anomalous",1,"low",1
128,1,5,5,"136","LUHA_engineering","The knives rested in their holder.",107,"literal",2,"high",1
1082,0,5,1,"119","HULA_non-engineering","The surfer telephoned with the waves.",107,"anomalous",1,"low",1
193,0,5,1,"120","HULA_non-engineering","The sun rained on the earth.",107,"anomalous",1,"low",1
1121,0,5,1,"122","HULA_non-engineering","The gravity baptized the moon.",107,"anomalous",1,"low",1
108,1,5,5,"140","LUHA_engineering","The computers are connected through a network.",107,"literal",2,"high",1
1089,0,5,1,"102","HULA_engineering","The snow was cured by the heat of the sunlight.",107,"anomalous",2,"low",1
964,0,5,1,"121","HULA_non-engineering","The foliage trickled from the trees.",107,"anomalous",1,"low",1
917,1,5,5,"101","HUHA_non-engineering","The sun sulked behind the clouds.",107,"metaphorical",1,"high",1
1407,0,5,1,"108","HULA_engineering","The weather memorized available transportation.",107,"anomalous",2,"low",1
478,1,5,5,"128","LUHA_engineering","The wind has moved the turbine.",107,"literal",2,"high",1
1345,1,5,5,"77","HUHA_engineering","The paper clip escaped to the magnet.",107,"metaphorical",2,"high",1
389,0,5,1,"109","HULA_engineering","The trains sneezed with great velocity.",107,"anomalous",2,"low",1
1299,1,5,5,"94","HUHA_non-engineering","The heat scarred the ground.",107,"metaphorical",1,"high",1
757,1,5,5,"90","HUHA_non-engineering","The moon tinted the world.",107,"metaphorical",1,"high",1
608,0,5,1,"126","HULA_non-engineering","The musician baked the violin.",107,"anomalous",1,"low",1
2227,1,5,5,"80","HUHA_engineering","The speakers fostered sound.",107,"metaphorical",2,"high",1
2236,1,5,5,"129","LUHA_engineering","The metal was polished by the brush.",107,"literal",2,"high",1
60,1,5,5,"130","LUHA_engineering","The new construction was sheltered by the cover.",107,"literal",2,"high",1
231,1,5,5,"152","LUHA_non-engineering","The laughter burst through the windows.",107,"literal",1,"high",1
2,1,5,5,"99","HUHA_non-engineering","The song bounced in her ear.",107,"metaphorical",1,"high",1
36,1,5,5,"148","LUHA_non-engineering","The volcano erupted the lava.",107,"literal",1,"high",1
33,1,5,5,"142","LUHA_non-engineering","The shooting stars lit the sky.",107,"literal",1,"high",1
957,1,5,5,"145","LUHA_non-engineering","The worm ate through the apple.",107,"literal",1,"high",1
800,0,5,1,"125","HULA_non-engineering","The morning dew debated on the meadow.",107,"anomalous",1,"low",1
591,1,5,5,"138","LUHA_engineering","The screw rolled toward the spring.",107,"literal",2,"high",1
331,1,5,5,"93","HUHA_non-engineering","The storm chased away the dune.",107,"metaphorical",1,"high",1
58,1,5,5,"83","HUHA_engineering","The plants are motivated by temperature.",107,"metaphorical",2,"high",1
30,1,5,5,"151","LUHA_non-engineering","The snow frosted the ground.",107,"literal",1,"high",1
163,1,5,5,"144","LUHA_non-engineering","The melody floated through the air.",107,"literal",1,"high",1
1156,1,5,5,"97","HUHA_non-engineering","The dream highlighted the direction.",107,"metaphorical",1,"high",1
810,0,5,1,"104","HULA_engineering","The shadows were jiggled by light.",107,"anomalous",2,"low",1
384,1,5,5,"143","LUHA_non-engineering","The bee abandoned the flower.",107,"literal",1,"high",1
71,1,5,5,"147","LUHA_non-engineering","The ivy coated the tree.",107,"literal",1,"high",1
6,1,1,1,"106","HULA_engineering","The bus was garnished by electricity.",107,"anomalous",2,"low",0
506,1,5,5,"82","HUHA_engineering","The ice quieted the river's flow.",107,"metaphorical",2,"high",1
933,0,5,1,"103","HULA_engineering","The car was sewed by the brakes' force.",107,"anomalous",2,"low",1
196,0,5,1,"114","HULA_engineering","The repairman deceived the stuck hinge with grease.",107,"anomalous",2,"low",1
22,0,5,1,"118","HULA_non-engineering","The fruits counted the cake.",107,"anomalous",1,"low",1
122,1,1,1,"124","HULA_non-engineering","The echo brushed through the cave.",107,"anomalous",1,"low",0
306,0,5,1,"127","HULA_non-engineering","The feeling lunched over time.",107,"anomalous",1,"low",1
166,1,5,5,"86","HUHA_engineering","The intense heat mutilated the plastic.",107,"metaphorical",2,"high",1
168,1,5,5,"96","HUHA_non-engineering","The sun drank the dew.",107,"metaphorical",1,"high",1
682,0,5,1,"113","HULA_engineering","The workers helped to coach the structure.",107,"anomalous",2,"low",1
159,1,5,5,"132","LUHA_engineering","The technician repaired the plane's wing.",107,"literal",2,"high",1
62,1,5,5,"85","HUHA_engineering","The light inspired the stone to change color.",107,"metaphorical",2,"high",1
97,1,5,5,"149","LUHA_non-engineering","The stars sprinkled over the desert.",107,"literal",1,"high",1
54,0,5,1,"111","HULA_engineering","The nails were knitted by the hammer.",107,"anomalous",2,"low",1
53,1,5,5,"141","LUHA_non-engineering","The clouds passed over the city.",107,"literal",1,"high",1
147,0,5,1,"115","HULA_non-engineering","The researcher disappointed a theory.",107,"anomalous",1,"low",1
50,1,5,5,"134","LUHA_engineering","The pipe was secured with a seal.",107,"literal",2,"high",1
192,1,5,5,"81","HUHA_engineering","The air system gifted the house with good ventilation.",107,"metaphorical",2,"high",1
89,1,5,5,"135","LUHA_engineering","The dough spun around in the mixer.",107,"literal",2,"high",1
243,1,5,5,"92","HUHA_non-engineering","The cloud cover quenched the country.",107,"metaphorical",1,"high",1
1168,1,5,5,"100","HUHA_non-engineering","The thunderclouds galloped across the fields.",107,"metaphorical",1,"high",1
542,1,5,5,"91","HUHA_non-engineering","The garden died in the winter.",107,"metaphorical",1,"high",1
170,1,5,5,"87","HUHA_engineering","The machine adds pressure and heat to invigorate the rubber.",107,"metaphorical",2,"high",1
38,1,5,5,"133","LUHA_engineering","The electricity was hindered by the resistor.",107,"literal",2,"high",1
121,1,5,5,"98","HUHA_non-engineering","The siren sang over the city.",107,"metaphorical",1,"high",1
66,1,5,5,"131","LUHA_engineering","The dam stalled the water.",107,"literal",2,"high",1
485,1,5,5,"79","HUHA_engineering","The wind governed the wheel.",107,"metaphorical",2,"high",1
81,0,5,1,"117","HULA_non-engineering","The rain braided her lips.",107,"anomalous",1,"low",1
453,1,5,5,"88","HUHA_engineering","The soil was groomed by the roller.",107,"metaphorical",2,"high",1
72,1,5,5,"150","LUHA_non-engineering","The waves flooded the beach.",107,"literal",1,"high",1
19,0,5,1,"105","HULA_engineering","The rocks grew into the hole.",107,"anomalous",2,"low",1
41,1,5,5,"146","LUHA_non-engineering","The flag turned in the wind.",107,"literal",1,"high",1
62,1,5,5,"84","HUHA_engineering","The metals were married into a weld.",107,"metaphorical",2,"high",1
69,1,5,5,"137","LUHA_engineering","The rust damaged the metal.",107,"literal",2,"high",1
115,0,5,1,"107","HULA_engineering","The oil voted from the pump.",107,"anomalous",2,"low",1
42,0,5,1,"123","HULA_non-engineering","The brook cycled through the forest.",107,"anomalous",1,"low",1
121,1,5,5,"78","HUHA_engineering","The mechanic injured the efficiency of the motor",107,"metaphorical",2,"high",1
48,1,5,5,"89","HUHA_non-engineering","The water hugged the swimmer.",107,"metaphorical",1,"high",1
70,0,5,1,"110","HULA_engineering","The fabric was cooked by glue.",107,"anomalous",2,"low",1
111,1,5,5,"139","LUHA_engineering","The car wasted all of the gas.",107,"literal",2,"high",1
80,1,5,5,"95","HUHA_non-engineering","The earthquake inhaled the city.",107,"metaphorical",1,"high",1
1,1,5,5,"225","LUHA_non-engineering","The echo resounded through the cave.",107,"literal",1,"high",1
587,1,5,5,"156","HUHA_engineering","The dam suffocated the water.",107,"metaphorical",2,"high",1
77,0,5,1,"201","HULA_non-engineering","The thunderclouds paddled across the fields.",107,"anomalous",1,"low",1
166,0,5,1,"198","HULA_non-engineering","The dream shaved the direction.",107,"anomalous",1,"low",1
52,0,5,1,"190","HULA_non-engineering","The water canceled the swimmer.",107,"anomalous",1,"low",1
783,1,5,5,"171","HUHA_non-engineering","The flag stretched in the wind.",107,"metaphorical",1,"high",1
116,0,5,1,"186","HULA_engineering","The light satisfied the stone to change color.",107,"anomalous",2,"low",1
22,0,5,1,"195","HULA_non-engineering","The heat swept the ground.",107,"anomalous",1,"low",1
1170,1,5,5,"168","HUHA_non-engineering","The bee bewitched the flower.",107,"metaphorical",1,"high",1
84,0,5,1,"197","HULA_non-engineering","The sun pasted the dew.",107,"anomalous",1,"low",1
113,1,5,5,"161","HUHA_engineering","The knives lounged in their holder.",107,"metaphorical",2,"high",1
84,1,5,5,"155","HUHA_engineering","The new construction was blanketed by the cover.",107,"metaphorical",2,"high",1
655,1,5,5,"164","HUHA_engineering","The car spent all of the gas.",107,"metaphorical",2,"high",1
79,0,5,1,"187","HULA_engineering","The intense heat threaded the plastic.",107,"anomalous",2,"low",1
247,1,1,1,"189","HULA_engineering","The soil was haunted by the roller.",107,"anomalous",2,"low",0
54,1,5,5,"219","LUHA_non-engineering","The fruits surrounded the cake.",107,"literal",1,"high",1
14,0,5,1,"182","HULA_engineering","The air system threatened the house with good ventilation.",107,"anomalous",2,"low",1
66,1,5,5,"174","HUHA_non-engineering","The stars lurked over the desert",107,"metaphorical",1,"high",1
65,1,5,5,"207","LUHA_engineering","The bus was powered by electricity.",107,"literal",2,"high",1
45,1,5,5,"216","LUHA_non-engineering","The researcher developed a theory.",107,"literal",1,"high",1
233,1,1,1,"193","HULA_non-engineering","The cloud cover roasted the country.",107,"anomalous",1,"low",0
285,1,5,5,"227","LUHA_non-engineering","The musician tuned the violin.",107,"literal",1,"high",1
128,0,5,1,"184","HULA_engineering","The plants are rejected by temperature.",107,"anomalous",2,"low",1
28,0,5,1,"181","HULA_engineering","The speakers fooled sound.",107,"anomalous",2,"low",1
28,0,5,1,"183","HULA_engineering","The ice perfected the river's flow.",107,"anomalous",2,"low",1
32,1,5,5,"157","HUHA_engineering","The technician rescued the plane's wing.",107,"metaphorical",2,"high",1
333,0,5,1,"192","HULA_non-engineering","The garden condensed in the winter.",107,"anomalous",1,"low",1
17,1,5,5,"206","LUHA_engineering","The rocks fell into the hole.",107,"literal",2,"high",1
65,1,5,5,"158","HUHA_engineering","The electricity was strangled by the resistor.",107,"metaphorical",2,"high",1
55,1,5,5,"210","LUHA_engineering","The trains advanced with great velocity.",107,"literal",2,"high",1
79,1,5,5,"221","LUHA_non-engineering","The sun beamed on the earth.",107,"literal",1,"high",1
100,0,5,1,"185","HULA_engineering","The metals were scared into a weld.",107,"anomalous",2,"low",1
15,1,5,5,"162","HUHA_engineering","The rust infected the metal.",107,"metaphorical",2,"high",1
167,0,5,1,"179","HULA_engineering","The mechanic stepped the efficiency of the motor.",107,"anomalous",2,"low",1
53,0,5,1,"188","HULA_engineering","The machine adds pressure and heat to plug the rubber.",107,"anomalous",2,"low",1
377,1,5,5,"209","LUHA_engineering","The weather impacted available transportation.",107,"literal",2,"high",1
104,1,5,5,"204","LUHA_engineering","The car was halted by the brakes' force.",107,"literal",2,"high",1
74,1,5,5,"169","HUHA_non-engineering","The melody fluttered through the air.",107,"metaphorical",1,"high",1
58,0,1,5,"208","LUHA_engineering","The oil leaked from the pump.",107,"literal",2,"high",0
20,1,5,5,"175","HUHA_non-engineering","The waves drowned the beach.",107,"metaphorical",1,"high",1
51,1,5,5,"165","HUHA_engineering","The computers are chattering through a network.",107,"metaphorical",2,"high",1
27,0,1,5,"167","HUHA_non-engineering","The shooting stars pierced the sky.",107,"metaphorical",1,"high",0
64,1,5,5,"172","HUHA_non-engineering","The ivy stifled the tree.",107,"metaphorical",1,"high",1
91,1,5,5,"220","LUHA_non-engineering","The surfer swam with the waves.",107,"literal",1,"high",1
9,1,5,5,"217","LUHA_non-engineering","The woman whispered words into his ear.",107,"literal",1,"high",1
87,1,5,5,"212","LUHA_engineering","The nails were struck by the hammer.",107,"literal",2,"high",1
44,1,5,5,"213","LUHA_engineering","The saddle has a perforated shell covered by soft foam.",107,"literal",2,"high",1
480,0,5,1,"199","HULA_non-engineering","The siren ironed over the city.",107,"anomalous",1,"low",1
144,0,5,1,"180","HULA_engineering","The wind measured the wheel.",107,"anomalous",2,"low",1
63,0,5,1,"194","HULA_non-engineering","The storm ridiculed the dune.",107,"anomalous",1,"low",1
101,0,5,1,"196","HULA_non-engineering","The earthquake defrosted the city.",107,"anomalous",1,"low",1
106,1,5,5,"203","LUHA_engineering","The snow was thawed by the heat of the sunlight.",107,"literal",2,"high",1
26,1,1,1,"200","HULA_non-engineering","The song rowed in her ear.",107,"anomalous",1,"low",0
91,1,5,5,"163","HUHA_engineering","The screw raced toward the spring.",107,"metaphorical",2,"high",1
55,1,5,5,"215","LUHA_engineering","The repairman loosened the stuck hinge with grease.",107,"literal",2,"high",1
79,1,5,5,"222","LUHA_non-engineering","The foliage dropped from the trees.",107,"literal",1,"high",1
3,1,5,5,"214","LUHA_engineering","The workers helped to build the structure.",107,"literal",2,"high",1
50,0,5,1,"178","HULA_engineering","The paper clip referred to the magnet.",107,"anomalous",2,"low",1
103,1,5,5,"205","LUHA_engineering","The shadows were engulfed by light.",107,"literal",2,"high",1
97,1,5,5,"159","HUHA_engineering","The pipe was arrested with a seal.",107,"metaphorical",2,"high",1
114,1,5,5,"218","LUHA_non-engineering","The rain wetted her lips.",107,"literal",1,"high",1
81,1,5,5,"160","HUHA_engineering","The dough waltzed around in the mixer.",107,"metaphorical",2,"high",1
38,1,5,5,"223","LUHA_non-engineering","The gravity influenced the moon.",107,"literal",1,"high",1
147,1,5,5,"173","HUHA_non-engineering","The volcano vomited the lava.",107,"metaphorical",1,"high",1
13,0,1,5,"211","LUHA_engineering","The fabric was bonded by glue.",107,"literal",2,"high",0
74,1,5,5,"177","HUHA_non-engineering","The laughter spilled through the windows.",107,"metaphorical",1,"high",1
26,1,5,5,"170","HUHA_non-engineering","The worm screwed through the apple.",107,"metaphorical",1,"high",1
249,1,5,5,"154","HUHA_engineering","The metal was healed by the brush.",107,"metaphorical",2,"high",1
47,0,1,5,"176","HUHA_non-engineering","The snow devoured the ground.",107,"metaphorical",1,"high",0
43,1,5,5,"228","LUHA_non-engineering","The feeling faded over time.",107,"literal",1,"high",1
26,1,5,5,"166","HUHA_non-engineering","The clouds wandered over the city.",107,"metaphorical",1,"high",1
66,1,5,5,"224","LUHA_non-engineering","The brook wound through the forest.",107,"literal",1,"high",1
32,1,1,1,"202","HULA_non-engineering","The sun crocheted behind the clouds.",107,"anomalous",1,"low",0
108,0,1,5,"153","HUHA_engineering","The wind has tickled the turbine.",107,"metaphorical",2,"high",0
8,1,5,5,"226","LUHA_non-engineering","The morning dew laid on the meadow.",107,"literal",1,"high",1
4462,0,5,1,"191","HULA_non-engineering","The moon received the world.",107,"anomalous",1,"low",1
1949,0,1,5,"67","LUHA_non-engineering","The cloud cover darkened the country.",113,"literal",1,"high",0
1514,1,5,5,"74","LUHA_non-engineering","The song echoed in her ear.",113,"literal",1,"high",1
104,1,5,5,"22","HUHA_non-engineering","The brook scurried through the forest.",113,"metaphorical",1,"high",1
1197,1,5,5,"16","HUHA_non-engineering","The rain kissed her lips.",113,"metaphorical",1,"high",1
3020,1,1,1,"43","HULA_non-engineering","The melody enrolled through the air.",113,"anomalous",1,"low",0
1987,0,1,5,"21","HUHA_non-engineering","The gravity pressured the moon.",113,"metaphorical",1,"high",0
10592,0,1,5,"2","HUHA_engineering","The car was interrupted by the brakes' force.",113,"metaphorical",2,"high",0
1296,1,5,5,"17","HUHA_non-engineering","The fruits crowned the cake.",113,"metaphorical",1,"high",1
6366,1,1,1,"48","HULA_non-engineering","The stars served over the desert.",113,"anomalous",1,"low",0
3456,0,1,5,"9","HUHA_engineering","The fabric was zipped by glue.",113,"metaphorical",2,"high",0
1724,1,5,5,"23","HUHA_non-engineering","The echo trembled through the cave.",113,"metaphorical",1,"high",1
1687,1,5,5,"8","HUHA_engineering","The trains charged with great velocity.",113,"metaphorical",2,"high",1
1994,1,1,1,"49","HULA_non-engineering","The waves excused the beach.",113,"anomalous",1,"low",0
3284,1,5,5,"59","LUHA_engineering","The metals were fused into a weld.",113,"literal",2,"high",1
9640,1,1,1,"29","HULA_engineering","The new construction was chopped by the cover.",113,"anomalous",2,"low",0
2139,1,5,5,"71","LUHA_non-engineering","The sun evaporated the dew.",113,"literal",1,"high",1
1218,1,5,5,"53","LUHA_engineering","The mechanic decreased the efficiency of the motor.",113,"literal",2,"high",1
941,1,5,5,"75","LUHA_non-engineering","The thunderclouds drifted across the fields.",113,"literal",1,"high",1
2847,0,1,5,"1","HUHA_engineering","The snow was reformed by the heat of the sunlight.",113,"metaphorical",2,"high",0
9628,1,5,5,"68","LUHA_non-engineering","The storm blew away the dune.",113,"literal",1,"high",1
2440,1,5,5,"6","HUHA_engineering","The oil ferried from the pump.",113,"metaphorical",2,"high",1
1887,0,1,5,"4","HUHA_engineering","The rocks hopped into the hole.",113,"metaphorical",2,"high",0
1405,0,5,1,"47","HULA_non-engineering","The volcano pummeled the lava.",113,"anomalous",1,"low",1
1101,1,5,5,"76","LUHA_non-engineering","The sun shone behind the clouds.",113,"literal",1,"high",1
2042,1,5,5,"65","LUHA_non-engineering","The moon brightened the world.",113,"literal",1,"high",1
1661,1,5,5,"70","LUHA_non-engineering","The earthquake devastated the city.",113,"literal",1,"high",1
1016,1,5,5,"55","LUHA_engineering","The speakers produced sound.",113,"literal",2,"high",1
7092,1,5,5,"15","HUHA_non-engineering","The woman dripped words into his ear.",113,"metaphorical",1,"high",1
3070,1,5,5,"20","HUHA_non-engineering","The foilage staggered from the trees",113,"metaphorical",1,"high",1
934,0,5,1,"42","HULA_non-engineering","The bee potted the flower.",113,"anomalous",1,"low",1
779,1,5,5,"14","HUHA_non-engineering","The researcher born a theory.",113,"metaphorical",1,"high",1
14958,1,1,1,"40","HULA_non-engineering","The clouds trained over the city.",113,"anomalous",1,"low",0
1264,0,1,5,"63","LUHA_engineering","The soil was flattened by the roller.",113,"literal",2,"high",0
1300,1,1,1,"27","HULA_engineering","The wind has eaten the turbine.",113,"anomalous",2,"low",0
839,1,5,5,"13","HUHA_engineering","The repairman freed the stuck hinge with grease.",113,"metaphorical",2,"high",1
750,0,5,1,"46","HULA_non-engineering","The ivy glazed the tree.",113,"anomalous",1,"low",1
2733,1,1,1,"30","HULA_engineering","The dam spooked the water.",113,"anomalous",2,"low",0
695,0,5,1,"34","HULA_engineering","The dough goofed around in the mixer.",113,"anomalous",2,"low",1
931,1,5,5,"26","HUHA_non-engineering","The feeling sank over time.",113,"metaphorical",1,"high",1
4142,1,1,1,"41","HULA_non-engineering","The shooting stars returned the sky.",113,"anomalous",1,"low",0
1659,1,5,5,"24","HUHA_non-engineering","The morning dew slept on the meadow.",113,"metaphorical",1,"high",1
1056,1,1,1,"35","HULA_engineering","The knives exhaled in their holder.",113,"anomalous",2,"low",0
3681,0,1,5,"19","HUHA_non-engineering","The sun hammered on the earth.",113,"metaphorical",1,"high",0
1407,1,5,5,"61","LUHA_engineering","The intense heat melted the plastic.",113,"literal",2,"high",1
969,1,5,5,"58","LUHA_engineering","The plants are affected by temperature.",113,"literal",2,"high",1
1424,1,5,5,"69","LUHA_non-engineering","The heat dried the ground.",113,"literal",1,"high",1
9025,1,1,1,"50","HULA_non-engineering","The snow rubbed the ground.",113,"anomalous",1,"low",0
971,1,5,5,"66","LUHA_non-engineering","The garden froze in the winter.",113,"literal",1,"high",1
13094,0,5,1,"45","HULA_non-engineering","The flag showered in the wind.",113,"anomalous",1,"low",1
1122,1,5,5,"5","HUHA_engineering","The bus was stimulated by electricity.",113,"metaphorical",2,"high",1
889,1,5,5,"56","LUHA_engineering","The air system supplied the house with good ventilation.",113,"literal",2,"high",1
1670,1,5,5,"7","HUHA_engineering","The weather handicapped available transportation.",113,"metaphorical",2,"high",1
986,1,5,5,"72","LUHA_non-engineering","The dream pointed the direction.",113,"literal",1,"high",1
1243,0,5,1,"38","HULA_engineering","The car gutted all of the gas.",113,"anomalous",2,"low",1
1052,0,5,1,"31","HULA_engineering","The technician folded the plane's wing.",113,"anomalous",2,"low",1
870,1,5,5,"18","HUHA_non-engineering","The surfer quarreled with the waves.",113,"metaphorical",1,"high",1
448,0,5,1,"51","HULA_non-engineering","The laughter graduated through the windows.",113,"anomalous",1,"low",1
8570,1,1,1,"33","HULA_engineering","The pipe was inquired with a seal.",113,"anomalous",2,"low",0
22453,0,5,1,"44","HULA_non-engineering","The worm snored through the apple.",113,"anomalous",1,"low",1
