"unusual_rt","unusual_acc","unusual_resp","unusual_cresp","approp_rt","approp_acc","approp_resp","approp_cresp","sentence_id","condition","sentence","id","type","engineering","appropriateness","unusualness","Appropriate.ACC","Unusual.ACC"
2297,0,1,5,1547,1,5,5,"22","HUHA_non-engineering","The brook scurried through the forest.",107,"Metaphorical","non","high","high","Appropriate","Usual"
1098,1,1,1,615,1,5,5,"56","LUHA_engineering","The air system supplied the house with good ventilation.",107,"Literal","eng","high","low","Appropriate","Usual"
2134,0,1,5,1219,0,5,1,"46","HULA_non-engineering","The ivy glazed the tree.",107,"Anomalous","non","low","high","Appropriate","Usual"
497,1,1,1,706,1,5,5,"70","LUHA_non-engineering","The earthquake devastated the city.",107,"Literal","non","high","low","Appropriate","Usual"
1446,0,1,5,393,1,5,5,"13","HUHA_engineering","The repairman freed the stuck hinge with grease.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
2252,1,5,5,843,0,5,1,"31","HULA_engineering","The technician folded the plane's wing.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
380,1,1,1,353,1,5,5,"69","LUHA_non-engineering","The heat dried the ground.",107,"Literal","non","high","low","Appropriate","Usual"
379,1,5,5,1064,0,5,1,"30","HULA_engineering","The dam spooked the water.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
599,1,5,5,1168,1,1,1,"29","HULA_engineering","The new construction was chopped by the cover.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
796,0,5,1,876,1,5,5,"75","LUHA_non-engineering","The thunderclouds drifted across the fields.",107,"Literal","non","high","low","Appropriate","Unusual"
3278,1,5,5,847,1,5,5,"12","HUHA_engineering","The workers helped to awake the structure.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
2918,1,5,5,774,0,5,1,"28","HULA_engineering","The metal was parented by the brush.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
949,0,1,5,556,1,5,5,"10","HUHA_engineering","The nails were abused by the hammer.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
1061,0,1,5,648,0,5,1,"44","HULA_non-engineering","The worm snored through the apple.",107,"Anomalous","non","low","high","Appropriate","Usual"
464,0,1,5,762,1,5,5,"24","HUHA_non-engineering","The morning dew slept on the meadow.",107,"Metaphorical","non","high","high","Appropriate","Usual"
892,1,1,1,333,1,5,5,"62","LUHA_engineering","The machine adds pressure and heat to vulcanize the rubber.",107,"Literal","eng","high","low","Appropriate","Usual"
562,1,1,1,261,1,5,5,"55","LUHA_engineering","The speakers produced sound.",107,"Literal","eng","high","low","Appropriate","Usual"
750,1,5,5,261,1,1,1,"38","HULA_engineering","The car gutted all of the gas.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
723,0,1,5,555,1,5,5,"1","HUHA_engineering","The snow was reformed by the heat of the sunlight.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
1706,1,5,5,1797,0,1,5,"21","HUHA_non-engineering","The gravity pressured the moon.",107,"Metaphorical","non","high","high","Inappropriate","Unusual"
1548,0,1,5,322,1,5,5,"15","HUHA_non-engineering","The woman dripped words into his ear.",107,"Metaphorical","non","high","high","Appropriate","Usual"
814,1,1,1,299,1,5,5,"58","LUHA_engineering","The plants are affected by temperature.",107,"Literal","eng","high","low","Appropriate","Usual"
803,1,5,5,1076,0,5,1,"50","HULA_non-engineering","The snow rubbed the ground.",107,"Anomalous","non","low","high","Appropriate","Unusual"
1418,1,1,1,752,1,5,5,"60","LUHA_engineering","The light caused the stone to change color.",107,"Literal","eng","high","low","Appropriate","Usual"
1426,1,5,5,1088,1,1,1,"43","HULA_non-engineering","The melody enrolled through the air.",107,"Anomalous","non","low","high","Inappropriate","Unusual"
854,1,5,5,1171,1,1,1,"33","HULA_engineering","The pipe was inquired with a seal.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
3175,0,1,5,455,1,5,5,"16","HUHA_non-engineering","The rain kissed her lips.",107,"Metaphorical","non","high","high","Appropriate","Usual"
841,1,1,1,748,1,5,5,"57","LUHA_engineering","The ice slowed the river's flow.",107,"Literal","eng","high","low","Appropriate","Usual"
443,1,5,5,754,1,5,5,"4","HUHA_engineering","The rocks hopped into the hole.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
2231,0,1,5,217,0,5,1,"40","HULA_non-engineering","The clouds trained over the city.",107,"Anomalous","non","low","high","Appropriate","Usual"
1103,1,1,1,812,1,5,5,"53","LUHA_engineering","The mechanic decreased the efficiency of the motor.",107,"Literal","eng","high","low","Appropriate","Usual"
1017,0,1,5,396,1,5,5,"11","HUHA_engineering","The saddle had a perforated shell enveloped by soft foam.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
935,1,1,1,450,1,5,5,"76","LUHA_non-engineering","The sun shone behind the clouds.",107,"Literal","non","high","low","Appropriate","Usual"
3339,1,1,1,647,1,5,5,"52","LUHA_engineering","The paper clip stuck to the magnet.",107,"Literal","eng","high","low","Appropriate","Usual"
1015,1,5,5,1001,1,1,1,"48","HULA_non-engineering","The stars served over the desert.",107,"Anomalous","non","low","high","Inappropriate","Unusual"
5804,1,5,5,2666,1,1,1,"47","HULA_non-engineering","The volcano pummeled the lava.",107,"Anomalous","non","low","high","Inappropriate","Unusual"
823,1,1,1,251,1,5,5,"59","LUHA_engineering","The metals were fused into a weld.",107,"Literal","eng","high","low","Appropriate","Usual"
527,0,5,1,4009,1,5,5,"67","LUHA_non-engineering","The cloud cover darkened the country.",107,"Literal","non","high","low","Appropriate","Unusual"
2379,1,5,5,614,0,5,1,"35","HULA_engineering","The knives exhaled in their holder.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
2276,1,5,5,785,0,1,5,"20","HUHA_non-engineering","The foilage staggered from the trees",107,"Metaphorical","non","high","high","Inappropriate","Unusual"
556,0,1,5,191,1,5,5,"14","HUHA_non-engineering","The researcher born a theory.",107,"Metaphorical","non","high","high","Appropriate","Usual"
2319,0,1,5,197,1,5,5,"6","HUHA_engineering","The oil ferried from the pump.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
1360,0,1,5,177,0,5,1,"51","HULA_non-engineering","The laughter graduated through the windows.",107,"Anomalous","non","low","high","Appropriate","Usual"
552,1,5,5,345,1,5,5,"25","HUHA_non-engineering","The musician teased the violin.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1748,0,1,5,146,0,5,1,"45","HULA_non-engineering","The flag showered in the wind.",107,"Anomalous","non","low","high","Appropriate","Usual"
2624,0,1,5,558,0,5,1,"42","HULA_non-engineering","The bee potted the flower.",107,"Anomalous","non","low","high","Appropriate","Usual"
1826,1,1,1,509,1,5,5,"74","LUHA_non-engineering","The song echoed in her ear.",107,"Literal","non","high","low","Appropriate","Usual"
3750,1,5,5,323,1,1,1,"32","HULA_engineering","The electricity was dared by the resistor.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
1841,1,1,1,1107,1,5,5,"68","LUHA_non-engineering","The storm blew away the dune.",107,"Literal","non","high","low","Appropriate","Usual"
4160,0,1,5,457,0,5,1,"41","HULA_non-engineering","The shooting stars returned the sky.",107,"Anomalous","non","low","high","Appropriate","Usual"
745,1,5,5,961,0,5,1,"27","HULA_engineering","The wind has eaten the turbine.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
2164,0,1,5,242,1,5,5,"18","HUHA_non-engineering","The surfer quarreled with the waves.",107,"Metaphorical","non","high","high","Appropriate","Usual"
1813,1,5,5,348,0,1,5,"19","HUHA_non-engineering","The sun hammered on the earth.",107,"Metaphorical","non","high","high","Inappropriate","Unusual"
753,1,5,5,336,1,5,5,"8","HUHA_engineering","The trains charged with great velocity.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1178,0,1,5,232,1,5,5,"2","HUHA_engineering","The car was interrupted by the brakes' force.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
472,1,1,1,194,1,5,5,"64","LUHA_non-engineering","The water soaked the swimmer.",107,"Literal","non","high","low","Appropriate","Usual"
1036,1,5,5,497,1,5,5,"5","HUHA_engineering","The bus was stimulated by electricity.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
960,1,1,1,179,1,5,5,"73","LUHA_non-engineering","The siren howled over the city.",107,"Literal","non","high","low","Appropriate","Usual"
355,1,1,1,405,1,5,5,"71","LUHA_non-engineering","The sun evaporated the dew.",107,"Literal","non","high","low","Appropriate","Usual"
696,1,5,5,399,1,5,5,"17","HUHA_non-engineering","The fruits crowned the cake.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1316,1,5,5,703,0,5,1,"112","HULA_engineering","The saddle had a perforated shell devoted by soft foam.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
713,1,5,5,416,0,5,1,"116","HULA_non-engineering","The woman stitched words into his ear.",107,"Anomalous","non","low","high","Appropriate","Unusual"
2906,1,1,1,128,1,5,5,"136","LUHA_engineering","The knives rested in their holder.",107,"Literal","eng","high","low","Appropriate","Usual"
641,1,5,5,1082,0,5,1,"119","HULA_non-engineering","The surfer telephoned with the waves.",107,"Anomalous","non","low","high","Appropriate","Unusual"
2285,1,5,5,193,0,5,1,"120","HULA_non-engineering","The sun rained on the earth.",107,"Anomalous","non","low","high","Appropriate","Unusual"
2461,1,5,5,1121,0,5,1,"122","HULA_non-engineering","The gravity baptized the moon.",107,"Anomalous","non","low","high","Appropriate","Unusual"
2206,1,1,1,108,1,5,5,"140","LUHA_engineering","The computers are connected through a network.",107,"Literal","eng","high","low","Appropriate","Usual"
1565,1,5,5,1089,0,5,1,"102","HULA_engineering","The snow was cured by the heat of the sunlight.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1494,1,5,5,964,0,5,1,"121","HULA_non-engineering","The foliage trickled from the trees.",107,"Anomalous","non","low","high","Appropriate","Unusual"
1227,1,5,5,917,1,5,5,"101","HUHA_non-engineering","The sun sulked behind the clouds.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
601,1,5,5,1407,0,5,1,"108","HULA_engineering","The weather memorized available transportation.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
817,1,1,1,478,1,5,5,"128","LUHA_engineering","The wind has moved the turbine.",107,"Literal","eng","high","low","Appropriate","Usual"
3074,1,5,5,1345,1,5,5,"77","HUHA_engineering","The paper clip escaped to the magnet.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
2184,1,5,5,389,0,5,1,"109","HULA_engineering","The trains sneezed with great velocity.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
942,1,5,5,1299,1,5,5,"94","HUHA_non-engineering","The heat scarred the ground.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
803,0,1,5,757,1,5,5,"90","HUHA_non-engineering","The moon tinted the world.",107,"Metaphorical","non","high","high","Appropriate","Usual"
485,1,5,5,608,0,5,1,"126","HULA_non-engineering","The musician baked the violin.",107,"Anomalous","non","low","high","Appropriate","Unusual"
1875,1,5,5,2227,1,5,5,"80","HUHA_engineering","The speakers fostered sound.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
4598,1,1,1,2236,1,5,5,"129","LUHA_engineering","The metal was polished by the brush.",107,"Literal","eng","high","low","Appropriate","Usual"
5449,1,1,1,60,1,5,5,"130","LUHA_engineering","The new construction was sheltered by the cover.",107,"Literal","eng","high","low","Appropriate","Usual"
1372,1,1,1,231,1,5,5,"152","LUHA_non-engineering","The laughter burst through the windows.",107,"Literal","non","high","low","Appropriate","Usual"
1153,0,1,5,2,1,5,5,"99","HUHA_non-engineering","The song bounced in her ear.",107,"Metaphorical","non","high","high","Appropriate","Usual"
823,1,1,1,36,1,5,5,"148","LUHA_non-engineering","The volcano erupted the lava.",107,"Literal","non","high","low","Appropriate","Usual"
862,1,1,1,33,1,5,5,"142","LUHA_non-engineering","The shooting stars lit the sky.",107,"Literal","non","high","low","Appropriate","Usual"
197,0,5,1,957,1,5,5,"145","LUHA_non-engineering","The worm ate through the apple.",107,"Literal","non","high","low","Appropriate","Unusual"
3286,1,5,5,800,0,5,1,"125","HULA_non-engineering","The morning dew debated on the meadow.",107,"Anomalous","non","low","high","Appropriate","Unusual"
1359,1,1,1,591,1,5,5,"138","LUHA_engineering","The screw rolled toward the spring.",107,"Literal","eng","high","low","Appropriate","Usual"
1164,0,1,5,331,1,5,5,"93","HUHA_non-engineering","The storm chased away the dune.",107,"Metaphorical","non","high","high","Appropriate","Usual"
573,1,5,5,58,1,5,5,"83","HUHA_engineering","The plants are motivated by temperature.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
961,0,5,1,30,1,5,5,"151","LUHA_non-engineering","The snow frosted the ground.",107,"Literal","non","high","low","Appropriate","Unusual"
407,1,1,1,163,1,5,5,"144","LUHA_non-engineering","The melody floated through the air.",107,"Literal","non","high","low","Appropriate","Usual"
1092,1,5,5,1156,1,5,5,"97","HUHA_non-engineering","The dream highlighted the direction.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
3193,1,5,5,810,0,5,1,"104","HULA_engineering","The shadows were jiggled by light.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
4264,1,1,1,384,1,5,5,"143","LUHA_non-engineering","The bee abandoned the flower.",107,"Literal","non","high","low","Appropriate","Usual"
1071,1,1,1,71,1,5,5,"147","LUHA_non-engineering","The ivy coated the tree.",107,"Literal","non","high","low","Appropriate","Usual"
6868,0,1,5,6,1,1,1,"106","HULA_engineering","The bus was garnished by electricity.",107,"Anomalous","eng","low","high","Inappropriate","Usual"
486,1,5,5,506,1,5,5,"82","HUHA_engineering","The ice quieted the river's flow.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1659,1,5,5,933,0,5,1,"103","HULA_engineering","The car was sewed by the brakes' force.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
752,1,5,5,196,0,5,1,"114","HULA_engineering","The repairman deceived the stuck hinge with grease.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
948,1,5,5,22,0,5,1,"118","HULA_non-engineering","The fruits counted the cake.",107,"Anomalous","non","low","high","Appropriate","Unusual"
670,1,5,5,122,1,1,1,"124","HULA_non-engineering","The echo brushed through the cave.",107,"Anomalous","non","low","high","Inappropriate","Unusual"
1366,1,5,5,306,0,5,1,"127","HULA_non-engineering","The feeling lunched over time.",107,"Anomalous","non","low","high","Appropriate","Unusual"
1744,1,5,5,166,1,5,5,"86","HUHA_engineering","The intense heat mutilated the plastic.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
604,1,5,5,168,1,5,5,"96","HUHA_non-engineering","The sun drank the dew.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
3464,1,5,5,682,0,5,1,"113","HULA_engineering","The workers helped to coach the structure.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1195,1,1,1,159,1,5,5,"132","LUHA_engineering","The technician repaired the plane's wing.",107,"Literal","eng","high","low","Appropriate","Usual"
779,1,5,5,62,1,5,5,"85","HUHA_engineering","The light inspired the stone to change color.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1422,0,5,1,97,1,5,5,"149","LUHA_non-engineering","The stars sprinkled over the desert.",107,"Literal","non","high","low","Appropriate","Unusual"
468,1,5,5,54,0,5,1,"111","HULA_engineering","The nails were knitted by the hammer.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
805,1,1,1,53,1,5,5,"141","LUHA_non-engineering","The clouds passed over the city.",107,"Literal","non","high","low","Appropriate","Usual"
852,1,5,5,147,0,5,1,"115","HULA_non-engineering","The researcher disappointed a theory.",107,"Anomalous","non","low","high","Appropriate","Unusual"
993,1,1,1,50,1,5,5,"134","LUHA_engineering","The pipe was secured with a seal.",107,"Literal","eng","high","low","Appropriate","Usual"
1807,1,5,5,192,1,5,5,"81","HUHA_engineering","The air system gifted the house with good ventilation.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
317,1,1,1,89,1,5,5,"135","LUHA_engineering","The dough spun around in the mixer.",107,"Literal","eng","high","low","Appropriate","Usual"
895,1,5,5,243,1,5,5,"92","HUHA_non-engineering","The cloud cover quenched the country.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1455,1,5,5,1168,1,5,5,"100","HUHA_non-engineering","The thunderclouds galloped across the fields.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1532,1,5,5,542,1,5,5,"91","HUHA_non-engineering","The garden died in the winter.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
415,1,5,5,170,1,5,5,"87","HUHA_engineering","The machine adds pressure and heat to invigorate the rubber.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1275,1,1,1,38,1,5,5,"133","LUHA_engineering","The electricity was hindered by the resistor.",107,"Literal","eng","high","low","Appropriate","Usual"
486,1,5,5,121,1,5,5,"98","HUHA_non-engineering","The siren sang over the city.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1123,0,5,1,66,1,5,5,"131","LUHA_engineering","The dam stalled the water.",107,"Literal","eng","high","low","Appropriate","Unusual"
1604,1,5,5,485,1,5,5,"79","HUHA_engineering","The wind governed the wheel.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
4990,1,5,5,81,0,5,1,"117","HULA_non-engineering","The rain braided her lips.",107,"Anomalous","non","low","high","Appropriate","Unusual"
1622,1,5,5,453,1,5,5,"88","HUHA_engineering","The soil was groomed by the roller.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1076,1,1,1,72,1,5,5,"150","LUHA_non-engineering","The waves flooded the beach.",107,"Literal","non","high","low","Appropriate","Usual"
1493,1,5,5,19,0,5,1,"105","HULA_engineering","The rocks grew into the hole.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
965,1,1,1,41,1,5,5,"146","LUHA_non-engineering","The flag turned in the wind.",107,"Literal","non","high","low","Appropriate","Usual"
691,1,5,5,62,1,5,5,"84","HUHA_engineering","The metals were married into a weld.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
346,1,1,1,69,1,5,5,"137","LUHA_engineering","The rust damaged the metal.",107,"Literal","eng","high","low","Appropriate","Usual"
697,1,5,5,115,0,5,1,"107","HULA_engineering","The oil voted from the pump.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1727,0,1,5,42,0,5,1,"123","HULA_non-engineering","The brook cycled through the forest.",107,"Anomalous","non","low","high","Appropriate","Usual"
37,1,5,5,121,1,5,5,"78","HUHA_engineering","The mechanic injured the efficiency of the motor",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1271,0,1,5,48,1,5,5,"89","HUHA_non-engineering","The water hugged the swimmer.",107,"Metaphorical","non","high","high","Appropriate","Usual"
564,1,5,5,70,0,5,1,"110","HULA_engineering","The fabric was cooked by glue.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
970,0,5,1,111,1,5,5,"139","LUHA_engineering","The car wasted all of the gas.",107,"Literal","eng","high","low","Appropriate","Unusual"
2866,1,5,5,80,1,5,5,"95","HUHA_non-engineering","The earthquake inhaled the city.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1242,0,5,1,1,1,5,5,"225","LUHA_non-engineering","The echo resounded through the cave.",107,"Literal","non","high","low","Appropriate","Unusual"
788,1,5,5,587,1,5,5,"156","HUHA_engineering","The dam suffocated the water.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
797,0,1,5,77,0,5,1,"201","HULA_non-engineering","The thunderclouds paddled across the fields.",107,"Anomalous","non","low","high","Appropriate","Usual"
345,0,1,5,166,0,5,1,"198","HULA_non-engineering","The dream shaved the direction.",107,"Anomalous","non","low","high","Appropriate","Usual"
654,1,5,5,52,0,5,1,"190","HULA_non-engineering","The water canceled the swimmer.",107,"Anomalous","non","low","high","Appropriate","Unusual"
293,1,5,5,783,1,5,5,"171","HUHA_non-engineering","The flag stretched in the wind.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
690,1,5,5,116,0,5,1,"186","HULA_engineering","The light satisfied the stone to change color.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1033,0,1,5,22,0,5,1,"195","HULA_non-engineering","The heat swept the ground.",107,"Anomalous","non","low","high","Appropriate","Usual"
4851,1,5,5,1170,1,5,5,"168","HUHA_non-engineering","The bee bewitched the flower.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
703,1,5,5,84,0,5,1,"197","HULA_non-engineering","The sun pasted the dew.",107,"Anomalous","non","low","high","Appropriate","Unusual"
964,1,5,5,113,1,5,5,"161","HUHA_engineering","The knives lounged in their holder.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
759,1,5,5,84,1,5,5,"155","HUHA_engineering","The new construction was blanketed by the cover.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1387,1,5,5,655,1,5,5,"164","HUHA_engineering","The car spent all of the gas.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
1110,1,5,5,79,0,5,1,"187","HULA_engineering","The intense heat threaded the plastic.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1289,1,5,5,247,1,1,1,"189","HULA_engineering","The soil was haunted by the roller.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
766,0,5,1,54,1,5,5,"219","LUHA_non-engineering","The fruits surrounded the cake.",107,"Literal","non","high","low","Appropriate","Unusual"
1432,1,5,5,14,0,5,1,"182","HULA_engineering","The air system threatened the house with good ventilation.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
147,1,5,5,66,1,5,5,"174","HUHA_non-engineering","The stars lurked over the desert",107,"Metaphorical","non","high","high","Appropriate","Unusual"
406,1,1,1,65,1,5,5,"207","LUHA_engineering","The bus was powered by electricity.",107,"Literal","eng","high","low","Appropriate","Usual"
509,1,1,1,45,1,5,5,"216","LUHA_non-engineering","The researcher developed a theory.",107,"Literal","non","high","low","Appropriate","Usual"
1890,1,5,5,233,1,1,1,"193","HULA_non-engineering","The cloud cover roasted the country.",107,"Anomalous","non","low","high","Inappropriate","Unusual"
745,1,1,1,285,1,5,5,"227","LUHA_non-engineering","The musician tuned the violin.",107,"Literal","non","high","low","Appropriate","Usual"
516,1,5,5,128,0,5,1,"184","HULA_engineering","The plants are rejected by temperature.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1071,1,5,5,28,0,5,1,"181","HULA_engineering","The speakers fooled sound.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
819,1,5,5,28,0,5,1,"183","HULA_engineering","The ice perfected the river's flow.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
1007,1,5,5,32,1,5,5,"157","HUHA_engineering","The technician rescued the plane's wing.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
323,1,5,5,333,0,5,1,"192","HULA_non-engineering","The garden condensed in the winter.",107,"Anomalous","non","low","high","Appropriate","Unusual"
2169,1,1,1,17,1,5,5,"206","LUHA_engineering","The rocks fell into the hole.",107,"Literal","eng","high","low","Appropriate","Usual"
797,1,5,5,65,1,5,5,"158","HUHA_engineering","The electricity was strangled by the resistor.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
410,1,1,1,55,1,5,5,"210","LUHA_engineering","The trains advanced with great velocity.",107,"Literal","eng","high","low","Appropriate","Usual"
235,1,1,1,79,1,5,5,"221","LUHA_non-engineering","The sun beamed on the earth.",107,"Literal","non","high","low","Appropriate","Usual"
912,1,5,5,100,0,5,1,"185","HULA_engineering","The metals were scared into a weld.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
3481,1,5,5,15,1,5,5,"162","HUHA_engineering","The rust infected the metal.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
554,1,5,5,167,0,5,1,"179","HULA_engineering","The mechanic stepped the efficiency of the motor.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
2570,1,5,5,53,0,5,1,"188","HULA_engineering","The machine adds pressure and heat to plug the rubber.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
4743,0,5,1,377,1,5,5,"209","LUHA_engineering","The weather impacted available transportation.",107,"Literal","eng","high","low","Appropriate","Unusual"
115,1,1,1,104,1,5,5,"204","LUHA_engineering","The car was halted by the brakes' force.",107,"Literal","eng","high","low","Appropriate","Usual"
412,1,5,5,74,1,5,5,"169","HUHA_non-engineering","The melody fluttered through the air.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
204,1,1,1,58,0,1,5,"208","LUHA_engineering","The oil leaked from the pump.",107,"Literal","eng","high","low","Inappropriate","Usual"
625,1,5,5,20,1,5,5,"175","HUHA_non-engineering","The waves drowned the beach.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1086,1,5,5,51,1,5,5,"165","HUHA_engineering","The computers are chattering through a network.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
261,0,1,5,27,0,1,5,"167","HUHA_non-engineering","The shooting stars pierced the sky.",107,"Metaphorical","non","high","high","Inappropriate","Usual"
1637,1,5,5,64,1,5,5,"172","HUHA_non-engineering","The ivy stifled the tree.",107,"Metaphorical","non","high","high","Appropriate","Unusual"
1469,1,1,1,91,1,5,5,"220","LUHA_non-engineering","The surfer swam with the waves.",107,"Literal","non","high","low","Appropriate","Usual"
637,1,1,1,9,1,5,5,"217","LUHA_non-engineering","The woman whispered words into his ear.",107,"Literal","non","high","low","Appropriate","Usual"
1913,1,1,1,87,1,5,5,"212","LUHA_engineering","The nails were struck by the hammer.",107,"Literal","eng","high","low","Appropriate","Usual"
1980,1,1,1,44,1,5,5,"213","LUHA_engineering","The saddle has a perforated shell covered by soft foam.",107,"Literal","eng","high","low","Appropriate","Usual"
252,1,5,5,480,0,5,1,"199","HULA_non-engineering","The siren ironed over the city.",107,"Anomalous","non","low","high","Appropriate","Unusual"
